date_fomc,brw_2020,brw_2024,,corr
7/31/19,0.0572017,0.061068609,,
9/18/19,0.0373536,0.041388847,,
10/30/19,0.02513,0.027379552,,
12/11/19,-0.003236,-0.004283179,,
1/29/20,0.0027958,0.00122786,,
3/16/20,-0.0394143,0.04203628,,
4/29/20,0.002327,-0.04510865,,
6/10/20,-0.0299658,-0.000366541,,
7/29/20,-0.0131933,-0.033645425,,
9/16/20,0.0158562,-0.014703969,,
11/5/20,-0.0069948,0.017901352,,
12/16/20,,-0.007625754,,
1/27/21,,0.005872226,,
3/17/21,,-0.065168262,,
4/28/21,,-0.01725704,,
6/16/21,,0.071578324,,
7/28/21,,-0.008296205,,
9/22/21,,0.037892111,,
11/3/21,,-0.003051541,,
12/15/21,,-0.017223788,,
1/26/22,,0.051430464,,
3/16/22,,0.104210474,,
5/4/22,,-0.084263004,,
6/15/22,,-0.156179294,,
7/27/22,,-0.064728856,,
9/21/22,,0.108803809,,
11/2/22,,0.022978263,,
12/14/22,,-0.006139015,,
2/1/23,,-0.032326564,,
3/22/23,,-0.126474187,,
5/3/23,,-0.05952847,,
6/14/23,,0.083877072,,
7/26/23,,-0.042876229,,
9/20/23,,0.03999836,,
11/1/23,,-0.063587487,,
12/13/23,,-0.109358683,,
1/31/24,,-0.037042569,,
3/20/24,,-0.06166305,,
5/1/24,,-0.024580861,,
6/12/24,,-0.025881795,,
7/31/24,,-0.018569537,,
9/18/24,,-0.036267582,,
11/7/24,,-0.01844468,,
12/18/24,,0.060303524,,
